timestamp,open,highest,lowest,close,volume
1609100700000, 21888.8, 21900, 21840.02, 21865.69, 7.946641
1609101000000, 21865.24, 21914.31, 21736.1, 21761.76, 11.41395
1609101000000, 21865.24, 21914.31, 21736.1, 21761.76, 11.41395
1609101300000, 21769.96, 21805.91, 21653.29, 21685.45, 21.38797
1609101600000, 21690.04, 21763.42, 21688.05, 21722.17, 18.473364
1609101900000, 21726.47, 21726.47, 21359, 21411.29, 82.107009
1609102200000, 21411.69, 21516.23, 21385.33, 21386.73, 29.102589
1609102500000, 21379.37, 21472.68, 21292.36, 21320.72, 52.759254
1609102800000, 21320.74, 21430.21, 21222.88, 21272.96, 45.994033
1609103100000, 21265.99, 21395.82, 21236.24, 21343.06, 24.419631
1609103400000, 21343.05, 21369.52, 21253.28, 21305.79, 19.058491
1609103700000, 21309.99, 21327.61, 21032.54, 21089.49, 46.324951
1609104000000, 21074.85, 21189.38, 20950, 21168.3, 90.180614
1609104300000, 21168.3, 21176.51, 21035, 21073.75, 60.051187
1609104600000, 21068.94, 21228.37, 21056.29, 21214.41, 22.577068
1609104900000, 21217.09, 21288.67, 21209.85, 21266.31, 15.124721
1609105200000, 21266.05, 21287.8, 21230.09, 21282.98, 11.771158
1609105500000, 21281.89, 21422.89, 21280.84, 21411.08, 19.790387
1609105800000, 21411.08, 21449, 21385.01, 21431.7, 14.614551
1609106100000, 21423.84, 21458.73, 21373.74, 21437.8, 21.428301
1609106400000, 21439.49, 21458.72, 21384.54, 21406.35, 11.738362
1609106700000, 21410.29, 21542.85, 21410.29, 21542.85, 24.352795
1609107000000, 21542.67, 21653.86, 21542.65, 21588.02, 26.912203
1609107300000, 21580.42, 21596.03, 21518.12, 21527.52, 5.876011
1609107600000, 21527.52, 21601.28, 21526.45, 21599.3, 6.545121
1609107900000, 21600.07, 21629.57, 21508.74, 21510.95, 15.82804
1609108200000, 21510.95, 21510.95, 21391.59, 21430.4, 13.909679
1609108500000, 21430.4, 21499.99, 21422.03, 21432.84, 11.929268
1609108800000, 21430.21, 21550.86, 21424.39, 21545.21, 11.065753
1609109100000, 21546.29, 21611.94, 21454.91, 21563.16, 20.447973
1609109400000, 21557.65, 21586.56, 21529.62, 21574.23, 12.560484
1609109700000, 21578.75, 21579.64, 21547.46, 21561.34, 4.760724
1609110000000, 21568.81, 21574.71, 21458.14, 21491.86, 7.714683
1609110300000, 21494.9, 21639.69, 21491.82, 21635.7, 17.996725
1609110600000, 21635.71, 21635.71, 21593.5, 21594.39, 9.817975
1609110900000, 21598.07, 21600.17, 21514.96, 21581.97, 10.210348
1609111200000, 21593.49, 21647.65, 21565.76, 21632.03, 4.948342
1609111500000, 21638.45, 21683.54, 21582.81, 21595.48, 11.549447
1609111800000, 21594.09, 21654.19, 21544.85, 21575.65, 8.326901
1609112100000, 21579.67, 21622.45, 21521.84, 21553.11, 8.378997
1609112400000, 21555.75, 21555.75, 21456.39, 21539.53, 11.898184
1609112700000, 21543.58, 21579.37, 21433.82, 21472.59, 11.896415
1609113000000, 21472.92, 21495.54, 21384.97, 21432.55, 14.034992
1609113300000, 21427.21, 21427.21, 21327.82, 21379.05, 11.283673
1609113600000, 21374.31, 21464.24, 21218.18, 21274.64, 33.572418
1609113900000, 21275.36, 21487.11, 21274.44, 21434.59, 24.512074
1609114200000, 21435.51, 21530.06, 21419.35, 21468.64, 29.849483
1609114500000, 21467.85, 21600, 21446.38, 21565.55, 18.034678
1609114800000, 21569.56, 21769.15, 21510.94, 21726.76, 21.165611
1609115100000, 21711.25, 21731.62, 21639.99, 21701.83, 16.806492
1609115400000, 21707.95, 21814.01, 21672.4, 21788.11, 15.553994
1609115700000, 21785.5, 21872.15, 21750, 21837.29, 28.225811
1609116000000, 21837.55, 21884.99, 21787.73, 21872.56, 5.929253
1609116300000, 21870.38, 21877.4, 21789.06, 21862.96, 15.13308
1609116600000, 21856.21, 21883.25, 21774.14, 21857.26, 10.204064
