timestamp,open,highest,lowest,close,volume
1618113600000,60268.58,60328,60268.58,60325.51,37.605497
1618113660000,60325.5,60325.5,60209.17,60212.72,36.281367
1618113720000,60212.72,60212.72,60099.32,60099.32,63.892783
1618113780000,60099.32,60112.84,60098.42,60102.03,24.863042
1618113840000,60102.03,60186.2,60097.44,60155.64,50.524557
1618113900000,60155.65,60200,60148.9,60186.29,104.73284
1618113960000,60186.29,60186.3,60116.11,60118.46,20.007617
1618114020000,60118.47,60140.2,60091.86,60092.79,13.25759
1618114080000,60092.79,60148.34,60092.79,60125.45,30.076461
1618114140000,60125.46,60142.99,60047.68,60051.69,32.234222
1618114200000,60051.69,60117.22,60042.22,60112.88,30.704345
1618114260000,60112.88,60142.72,60091.84,60142.72,18.304913
1618114320000,60142.72,60174.8,60142.71,60171.18,19.509527
1618114380000,60171.18,60176.24,60158.29,60168.12,14.750175
1618114440000,60168.13,60216.87,60166.49,60190.83,20.653009
1618114500000,60190.83,60191,60051.82,60141.96,74.887866
1618114560000,60141.96,60222,60138.61,60204.29,34.616592
1618114620000,60204.29,60204.3,60171.14,60196.63,11.082538
1618114680000,60196.62,60247.77,60196.62,60244.74,16.705875
1618114740000,60244.73,60246.4,60205.67,60236.66,18.113727
1618114800000,60236.66,60248,60231.34,60245.5,10.508839
1618114860000,60245.49,60275.38,60245.49,60261.31,18.408286
1618114920000,60261.3,60266.75,60172.72,60182.98,40.64302
1618114980000,60182.97,60185.59,60150.03,60176.21,13.856317
1618115040000,60176.21,60192.06,60140.24,60140.24,15.187832
1618115100000,60140.25,60144.13,60100.33,60124.76,19.783953
1618115160000,60124.77,60128.24,60101.38,60118.57,16.628564
1618115220000,60118.57,60153.81,60115.55,60140.01,23.596267
1618115280000,60140.02,60154.36,60112.06,60122.91,14.202896
1618115340000,60122.91,60122.91,60081.72,60083.53,18.775554
1618115400000,60083.53,60101.25,60075.71,60101.25,16.626215
1618115460000,60101.13,60147.84,60101.13,60135.29,26.118798
1618115520000,60135.29,60178.71,60133.9,60172.59,12.20743
1618115580000,60172.59,60179.98,60143.42,60144.05,16.366859
1618115640000,60143.43,60166.74,60143.42,60165.21,22.67343
1618115700000,60160.99,60221.95,60160.99,60211.94,31.453206
1618115760000,60211.94,60217.87,60142.84,60162.49,22.801709
1618115820000,60162.48,60162.48,60109.82,60113.59,18.644882
1618115880000,60113.59,60130.8,60089.22,60128.13,17.207652
1618115940000,60128.13,60166.31,60128.1,60145.78,18.805113
1618116000000,60145.78,60150,60108.77,60108.77,12.513371
1618116060000,60108.77,60108.78,60082.09,60086.11,29.070869
1618116120000,60086.11,60094.46,59902.09,59986.39,100.533804
1618116180000,59986.39,59997.12,59821.74,59888.75,76.749224
1618116240000,59888.75,59907.86,59818,59818.01,25.322804
1618116300000,59818.01,59891.43,59777.77,59845.01,74.208459
1618116360000,59845.01,59964.41,59845,59906.79,27.102821
1618116420000,59906.78,59906.79,59819.95,59861.34,32.439583
1618116480000,59861.34,59918.22,59861.34,59907.52,17.260469
1618116540000,59907.51,59909.29,59805,59894.8,43.087657
1618116600000,59894.8,59938.08,59888.94,59938.07,15.215175
1618116660000,59938.07,59996.37,59928.01,59975.39,29.270429
1618116720000,59975.39,59991.46,59933.22,59983.32,15.345569
1618116780000,59983.31,60015.63,59983.31,60015.28,16.150193
1618116840000,60015.27,60025,59985.79,59993.08,16.735299
1618116900000,59993.07,59993.08,59946.53,59975.97,12.382114
1618116960000,59975.97,60018.87,59975.97,60014.92,18.405685
1618117020000,60014.91,60017.28,59953.1,59967.79,16.066055
1618117080000,59967.8,59993,59936.32,59936.32,20.364852
