timestamp,open,highest,lowest,close,volume
1609459200000,28923.63,28961.66,28913.12,28961.66,27.457032
1609459260000,28961.67,29017.5,28961.01,29009.91,58.477501
1609459320000,29009.54,29016.71,28973.58,28989.3,42.470329
1609459380000,28989.68,28999.85,28972.33,28982.69,30.360677
1609459440000,28982.67,28995.93,28971.8,28975.65,24.124339
1609459500000,28975.65,28979.53,28933.16,28937.11,22.396014
1609459560000,28937.11,28963.25,28937.1,28943.87,20.480294
1609459620000,28943.88,28954.48,28930,28934.84,20.962343
1609459680000,28934.84,28936.15,28889.24,28900,52.645478
1609459740000,28900,28920.06,28846.28,28858.94,98.083975
1609459800000,28858.94,28883.2,28848.06,28848.68,42.6659
1609459860000,28848.69,28862.12,28782.88,28824.35,96.600376
1609459920000,28824.36,28858.28,28818.75,28838.68,42.540963
1609459980000,28838.69,28839.08,28706.16,28706.64,104.225054
1609460040000,28716.85,28764.23,28690.17,28752.8,156.587294
1609460100000,28752.8,28775.99,28720.91,28769.77,45.695385
1609460160000,28769.77,28819.14,28769.76,28810,28.328974
1609460220000,28812.34,28816.34,28783.13,28800.57,34.035514
1609460280000,28800.58,28830.79,28800.58,28823.21,31.4205
1609460340000,28823.21,28852.48,28820.72,28820.72,35.359406
1609460400000,28822.17,28822.17,28751.58,28759.35,35.799104
1609460460000,28757.97,28796.23,28744.09,28796.23,44.561433
1609460520000,28796.23,28802.19,28780.11,28796.29,18.573683
1609460580000,28796.56,28835.44,28796.56,28835.01,38.595434
1609460640000,28835.01,28846.46,28822.03,28846.46,23.78713
1609460700000,28844.88,28871.28,28841.66,28871.28,37.069495
1609460760000,28871.28,28875.55,28822.01,28844.48,50.016234
1609460820000,28844.48,28844.48,28823.49,28839.57,31.830089
1609460880000,28839.58,28844.1,28828.92,28833.96,10.930214
1609460940000,28833.73,28838.54,28822,28836.63,14.608584
1609461000000,28836.63,28875.75,28836.62,28875.75,50.438674
1609461060000,28876.31,28890,28858.53,28858.53,26.833779
1609461120000,28858.53,28874.35,28857.95,28871.97,19.693716
1609461180000,28872.49,28896.54,28872.49,28890,40.124288
1609461240000,28890,28894.49,28867.52,28880.38,21.001599
1609461300000,28879.48,28931.22,28879.48,28931.22,74.468351
1609461360000,28931.41,28932.13,28900,28928.7,36.978999
1609461420000,28928.7,28928.7,28914.13,28914.15,18.568687
1609461480000,28914.15,28929.61,28896.92,28901.91,26.096547
1609461540000,28901.91,28903.99,28890.19,28897.97,9.48205
1609461600000,28897.97,28927.97,28897.96,28927.33,27.2353
1609461660000,28927.33,28943.87,28912.6,28913.45,28.606292
1609461720000,28913.32,28928.74,28900.01,28919.99,33.134883
1609461780000,28919.99,28926.24,28907.04,28916.93,35.815596
1609461840000,28916.97,28934.17,28916.96,28930.11,22.655947
1609461900000,28930.11,28932.21,28889.99,28894.49,30.367866
1609461960000,28894.5,28930.09,28894.5,28929.09,18.040346
1609462020000,28929.09,28968.4,28926.27,28938.76,75.777037
1609462080000,28938.76,28960,28938.06,28939.61,17.59974
1609462140000,28939.6,28950.35,28939.6,28946.32,13.131065
1609462200000,28944.93,28968.86,28944.85,28951.45,13.640052
1609462260000,28951.44,28955.12,28945,28948.92,8.796899
1609462320000,28948.92,28966,28937.95,28965.99,35.854092
1609462380000,28966,28985.16,28963.52,28966.04,62.447571
1609462440000,28966.05,28969.77,28945.17,28947.1,16.230831
1609462500000,28947.1,28963.76,28942.01,28958.72,12.822538
1609462560000,28958.72,28966.88,28946.65,28966.88,21.794224
1609462620000,28967.14,29031.34,28967.13,29015.4,70.634793
1609462680000,29015.94,29023.81,28999.73,29021.63,41.390438
1609462740000,29021.63,29021.64,28988.26,28995.13,81.460497
1609462800000,28995.13,29014.86,28984.05,28987.62,22.988493
1609462860000,28987.62,28987.62,28960.35,28972.26,17.930684
1609462920000,28972.27,29004.92,28972.26,28998.94,28.835984
1609462980000,28998.95,29000.22,28985.92,28988.15,20.683397
1609463040000,28988.16,29056.95,28988.15,29056.95,59.510775
1609463100000,29056.96,29089.33,29056.95,29089.33,61.358492
1609463160000,29089.32,29090,29066.29,29089.99,58.419497
1609463220000,29089.99,29092.52,29052.88,29069.71,62.148746
1609463280000,29069.71,29138.35,29069.71,29134.45,125.139312
1609463340000,29134.2,29138.76,29103.6,29117.2,72.779574
1609463400000,29117.19,29157.98,29115.76,29155.85,151.322379
1609463460000,29155.86,29200,29149.23,29193.47,201.436205
1609463520000,29193.46,29246.67,29187.87,29239.21,191.897707
1609463580000,29241.14,29248,29206.23,29246.28,103.481236
1609463640000,29246.28,29385,29246.28,29382.59,557.906524
1609463700000,29384.97,29385,29296.74,29357.15,285.135915
1609463760000,29357.14,29366.18,29300.06,29335.51,148.551452
1609463820000,29335.51,29335.51,29277,29301.82,174.76099
1609463880000,29301.82,29331.99,29286.89,29321.53,106.012107
1609463940000,29321.51,29326.43,29261.59,29272.51,101.641458
1609464000000,29272.47,29339.99,29241.5,29339.43,76.462131
1609464060000,29339.43,29340,29290.4,29318.6,65.266408
1609464120000,29318.6,29319.78,29248.79,29285.7,64.055137
1609464180000,29285.36,29315.36,29272.09,29298.31,60.692431
1609464240000,29298.32,29349.85,29298.31,29331.74,75.567658
1609464300000,29331.74,29337.59,29294.16,29314.61,68.705464
1609464360000,29314.61,29320.6,29302.69,29308.47,52.069401
1609464420000,29308.47,29326.21,29306.36,29320.54,50.189306
1609464480000,29320.55,29380,29320.32,29368.47,77.802182
1609464540000,29368.46,29417.87,29279.23,29385.39,306.367399
1609464600000,29387.07,29449,29379.37,29448.99,164.045793
1609464660000,29449,29450,29350,29363.47,164.511045
1609464720000,29363,29396.34,29350.87,29392.4,79.89138
1609464780000,29392.41,29395.09,29316.83,29335.06,56.723261
1609464840000,29334.88,29371.95,29330.94,29361.77,40.135145
1609464900000,29361.77,29369.02,29340.01,29359.92,37.107711
1609464960000,29358.76,29422.98,29358.75,29399.68,83.937137
1609465020000,29399.68,29423.76,29398.13,29423.17,45.7126
1609465080000,29423.53,29470,29423.53,29470,168.395262
1609465140000,29470,29470,29340,29400.01,159.257936
1609465200000,29401.66,29415.8,29369.87,29387.1,82.140662
1609465260000,29387.1,29389.77,29338.92,29386.25,56.549869
1609465320000,29386.25,29390.99,29345.85,29349.2,59.924445
1609465380000,29347.54,29380.69,29344.01,29372.56,43.267015
1609465440000,29372.56,29373,29312.17,29319.87,92.123062
1609465500000,29320.7,29351.73,29311.75,29337.43,87.481291
1609465560000,29337.43,29370.72,29332.4,29369.1,45.043781
1609465620000,29369.1,29379.99,29355.77,29360.85,53.071579
1609465680000,29360.86,29370.05,29349.16,29357.39,27.498647
