timestamp,open,highest,lowest,close,volume
1618113600000,50269.43,50317.08,50133.79,50180.83,4.196451
1618113900000,50180.84,50204.9,50128.1,50128.1,2.090232
1618114200000,50128.1,50241.7,50109.59,50231.48,3.024966
1618114500000,50229.51,50278.47,50153.04,50264.99,6.314041
1618114800000,50278,50305.42,50214.73,50220,5.717562
1618115100000,50220,50226.95,50176.66,50179.53,2.549577
1618115400000,50179.52,50240.06,50165.01,50226.19,1.588058
1618115700000,50231.9,50267.81,50191.39,50220.53,3.382222
1618116000000,50223.56,50223.56,49990.15,49995.88,10.080689
1618116300000,49995.64,50093.02,49951.26,50022.4,10.113484
1618116600000,50023.43,50131.57,50013.41,50115.83,3.080329
1618116900000,50110.46,50136.62,50046.15,50051.19,2.370357
1618117200000,50051.2,50115.63,50020.4,50103.79,2.594501
1618117500000,50103.79,50135.22,50090.24,50119.86,2.807634
1618117800000,50119.86,50127.41,49889.73,49895.59,7.085223
1618118100000,49893.75,49977.13,49839.29,49938.96,10.194077
1618118400000,49943.16,50040.31,49943.16,49995.38,6.344738
1618118700000,49995.4,50067.65,49891.98,49916.05,6.473242
1618119000000,49917.35,50011.48,49860.31,49860.31,4.653297
1618119300000,49857.66,49912.27,49802,49855.84,9.500773
1618119600000,49856.34,49993.71,49854.83,49960.76,5.419054
1618119900000,49963.95,50069.36,49959.73,49993.42,5.466535
1618120200000,49992.68,50022.42,49956.53,49959.84,2.714962
1618120500000,49959.27,50027.2,49872.17,49909.67,8.269622
1618120800000,49910.82,49989.18,49862.18,49862.18,7.571247
1618121100000,49862.18,49914.81,49726.94,49735.2,10.287709
1618121400000,49735.11,49772.77,49681.22,49681.22,9.43255
1618121700000,49681.01,49805.01,49670,49794.87,6.056746
1618122000000,49794.88,49852.93,49792.6,49817.48,6.096948
1618122300000,49817.47,49818.2,49733.62,49743.2,3.895437
1618122600000,49750.15,49849.52,49750.15,49822.78,6.199017
1618122900000,49822.76,49911.16,49752.66,49909.47,8.703091
1618123200000,49910.98,50024.23,49828.58,50021.68,7.976184
1618123500000,50022.58,50140.29,49958.92,50140.29,14.355335
1618123800000,50142.76,50145,50080.21,50087.88,4.325878
1618124100000,50087.88,50105,50019.35,50037.23,5.949925
1618124400000,50041.2,50081.99,50001,50002.19,5.569125
1618124700000,50002.19,50023.08,49965.01,49978.67,3.425155
1618125000000,49974.91,49974.92,49792.16,49823.01,5.816189
1618125300000,49823.03,49969.79,49822,49969.79,3.72698
1618125600000,49969.8,49991.88,49921.62,49979.16,3.985616
1618125900000,49979.13,50050,49954.05,50037.37,5.290898
